#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         632     2.61508     2.61476 3.12647e-05
         633     2.61512     2.61476 3.12203e-05
         634     2.61517     2.61476 3.11776e-05
         635     2.61522     2.61476 3.11366e-05
         636     2.61527     2.61476 3.10979e-05
         637     2.61533     2.61477  3.1062e-05
         638      2.6154     2.61477 3.10291e-05
         639     2.61547     2.61477 3.10001e-05
         640     2.61555     2.61477 3.09756e-05
         641     2.61563     2.61477 3.09562e-05
         642     2.61571     2.61477  3.0943e-05
         643      2.6158     2.61477 3.09363e-05
         644     2.61589     2.61477 3.09369e-05
         645     2.61598     2.61478 3.09457e-05
         646     2.61608     2.61478 3.09635e-05
         647     2.61618     2.61478 3.09909e-05
         648     2.61627     2.61478 3.10279e-05
         649     2.61636     2.61479  3.1075e-05
         650     2.61645     2.61479 3.11321e-05
         651     2.61653     2.61479 3.11992e-05
         652     2.61661     2.61479 3.12757e-05
         653     2.61668      2.6148 3.13617e-05
         654     2.61675      2.6148 3.14559e-05
         655     2.61681      2.6148 3.15576e-05
         656     2.61686     2.61481 3.16648e-05
